iter	Passed	Remaining
1146	7561	5623
1147	7567	5616
1148	7574	5609
1149	7580	5602
1150	7586	5595
1151	7592	5588
1152	7597	5581
1153	7603	5574
1154	7609	5567
1155	7615	5560
1156	7621	5553
1157	7628	5546
1158	7634	5539
1159	7640	5532
1160	7646	5525
1161	7652	5518
1162	7658	5511
1163	7665	5505
1164	7671	5498
1165	7676	5491
1166	7682	5484
1167	7689	5477
1168	7695	5470
1169	7701	5463
1170	7707	5456
1171	7713	5449
1172	7719	5442
1173	7725	5435
1174	7731	5428
1175	7738	5422
1176	7745	5416
1177	7752	5409
1178	7759	5403
1179	7766	5397
1180	7772	5390
1181	7779	5383
1182	7785	5376
1183	7791	5369
1184	7797	5362
1185	7804	5356
1186	7809	5349
1187	7815	5342
1188	7821	5335
1189	7827	5327
1190	7833	5321
1191	7839	5313
1192	7845	5307
1193	7851	5300
1194	7858	5293
1195	7864	5286
1196	7870	5279
1197	7875	5272
1198	7882	5266
1199	7888	5258
1200	7895	5252
1201	7902	5246
1202	7907	5239
1203	7913	5231
1204	7919	5224
1205	7924	5217
1206	7931	5210
1207	7937	5204
1208	7944	5197
1209	7950	5191
1210	7956	5184
1211	7964	5178
1212	7970	5171
1213	7975	5163
1214	7981	5156
1215	7987	5149
1216	7993	5143
1217	8000	5136
1218	8005	5129
1219	8011	5122
1220	8017	5115
1221	8023	5108
1222	8029	5101
1223	8035	5094
1224	8041	5087
1225	8047	5080
1226	8053	5073
1227	8059	5066
1228	8065	5059
1229	8071	5052
1230	8077	5046
1231	8084	5039
1232	8089	5032
1233	8096	5025
1234	8102	5019
1235	8108	5012
1236	8115	5005
1237	8121	4998
1238	8126	4991
1239	8132	4984
1240	8139	4977
1241	8145	4971
1242	8151	4964
1243	8157	4957
1244	8163	4950
1245	8169	4943
1246	8175	4937
1247	8181	4930
1248	8187	4923
1249	8193	4915
1250	8199	4909
1251	8205	4902
1252	8212	4896
1253	8219	4889
1254	8225	4882
1255	8231	4875
1256	8238	4869
1257	8244	4862
1258	8249	4855
1259	8255	4848
1260	8261	4841
1261	8267	4834
1262	8273	4828
1263	8281	4821
1264	8287	4815
1265	8292	4807
1266	8298	4800
1267	8304	4793
1268	8310	4787
1269	8316	4780
1270	8322	4773
1271	8328	4766
1272	8334	4759
1273	8339	4752
1274	8345	4745
1275	8351	4738
1276	8358	4732
1277	8364	4725
1278	8370	4718
1279	8376	4711
1280	8382	4705
1281	8388	4698
1282	8394	4691
1283	8400	4684
1284	8407	4677
1285	8413	4671
1286	8418	4664
1287	8424	4656
1288	8430	4650
1289	8436	4643
1290	8442	4636
1291	8448	4629
1292	8455	4623
1293	8461	4616
1294	8466	4609
1295	8472	4602
1296	8478	4595
1297	8484	4588
1298	8490	4581
1299	8496	4575
1300	8502	4568
1301	8508	4561
1302	8514	4554
1303	8520	4547
1304	8526	4540
1305	8533	4534
1306	8539	4527
1307	8544	4520
1308	8550	4513
1309	8556	4506
1310	8562	4500
1311	8568	4493
1312	8575	4486
1313	8580	4479
1314	8586	4472
1315	8592	4466
1316	8598	4459
1317	8604	4452
1318	8610	4445
1319	8617	4439
1320	8622	4432
1321	8628	4425
1322	8635	4418
1323	8640	4411
1324	8646	4404
1325	8651	4397
1326	8658	4391
1327	8664	4384
1328	8670	4377
1329	8676	4370
1330	8682	4364
1331	8688	4357
1332	8694	4350
1333	8700	4343
1334	8706	4337
1335	8713	4330
1336	8719	4323
1337	8725	4317
1338	8731	4310
1339	8737	4303
1340	8743	4296
1341	8749	4290
1342	8755	4283
1343	8761	4276
1344	8767	4269
1345	8773	4262
1346	8779	4255
1347	8785	4249
1348	8791	4242
1349	8797	4235
1350	8803	4229
1351	8809	4222
1352	8814	4215
1353	8820	4208
1354	8826	4201
1355	8833	4195
1356	8839	4188
1357	8845	4181
1358	8851	4175
1359	8857	4168
1360	8862	4161
1361	8868	4154
1362	8874	4147
1363	8880	4140
1364	8886	4134
1365	8894	4127
1366	8900	4121
1367	8905	4114
1368	8912	4107
1369	8917	4100
1370	8923	4093
1371	8929	4087
1372	8935	4080
1373	8941	4073
1374	8948	4067
1375	8954	4060
1376	8960	4053
1377	8965	4046
1378	8972	4040
1379	8978	4033
1380	8984	4026
1381	8990	4020
1382	8996	4013
1383	9002	4006
1384	9008	4000
1385	9014	3993
1386	9020	3986
1387	9025	3979
1388	9031	3972
1389	9037	3966
1390	9044	3959
1391	9050	3953
1392	9056	3946
1393	9062	3939
1394	9068	3932
1395	9074	3926
1396	9080	3919
1397	9087	3913
1398	9093	3906
1399	9098	3899
1400	9104	3892
1401	9113	3887
1402	9121	3881
1403	9130	3875
1404	9138	3870
1405	9147	3864
1406	9153	3857
1407	9159	3851
1408	9166	3844
1409	9172	3838
1410	9178	3831
1411	9185	3825
1412	9191	3818
1413	9196	3811
1414	9204	3805
1415	9212	3799
1416	9218	3792
1417	9225	3786
1418	9231	3779
1419	9238	3773
1420	9245	3766
1421	9251	3760
1422	9258	3754
1423	9265	3747
1424	9272	3741
1425	9279	3735
1426	9287	3729
1427	9294	3723
1428	9301	3716
1429	9311	3711
1430	9349	3717
1431	9357	3711
1432	9365	3705
1433	9374	3700
1434	9380	3693
1435	9386	3686
1436	9391	3679
1437	9398	3673
1438	9404	3666
1439	9410	3659
1440	9416	3653
1441	9422	3646
1442	9428	3639
1443	9434	3632
1444	9441	3626
1445	9447	3619
1446	9454	3613
1447	9460	3606
1448	9465	3599
1449	9472	3593
1450	9479	3586
1451	9486	3580
1452	9492	3573
1453	9498	3566
1454	9504	3560
1455	9510	3553
1456	9517	3547
1457	9524	3540
1458	9529	3533
1459	9536	3527
1460	9542	3520
1461	9548	3513
1462	9554	3507
1463	9561	3500
1464	9567	3493
1465	9573	3487
1466	9579	3480
1467	9586	3473
1468	9592	3467
1469	9598	3460
1470	9604	3454
1471	9611	3447
1472	9617	3441
1473	9624	3434
1474	9631	3427
1475	9637	3421
1476	9644	3415
1477	9650	3408
1478	9656	3401
1479	9662	3395
1480	9669	3388
1481	9675	3381
1482	9682	3375
1483	9687	3368
1484	9693	3361
1485	9699	3355
1486	9706	3348
1487	9713	3342
1488	9719	3335
1489	9725	3328
1490	9732	3322
1491	9740	3316
1492	9747	3309
1493	9753	3303
1494	9760	3296
1495	9767	3290
1496	9774	3284
1497	9780	3277
1498	9787	3271
1499	9794	3264
1500	9801	3258
1501	9807	3251
1502	9814	3245
1503	9821	3238
1504	9827	3232
1505	9834	3225
1506	9840	3219
1507	9847	3212
1508	9853	3206
1509	9860	3199
1510	9868	3193
1511	9874	3186
1512	9880	3180
1513	9887	3173
1514	9893	3167
1515	9901	3161
1516	9907	3154
1517	9914	3148
1518	9921	3141
1519	9927	3134
1520	9933	3128
1521	9939	3121
1522	9947	3115
1523	9953	3108
1524	9959	3102
